sport,market,game/event,player,site,odds
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,BetRivers,+1200
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,Sugarhouse,+1200
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,888sports,+1200
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,Best Line: BetRiver,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,BetRivers,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,Sugarhouse,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Zach Johnson,888sports,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,Best Line: BetRiver,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,BetRivers,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,Sugarhouse,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Keegan Bradley,888sports,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,Best Line: BetRiver,+15000
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,BetRivers,+15000
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,Sugarhouse,+15000
PGA,To Win,PGA - Sony Open in Hawaii,Jim Furyk,888sports,+15000
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,Best Line: BetRiver,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,BetRivers,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,Sugarhouse,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Brendan Steele,888sports,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,Best Line: BetRiver,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,BetRivers,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,Sugarhouse,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Robby Shelton,888sports,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,Best Line: BetRiver,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,BetRivers,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,Sugarhouse,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Tyler McCumber,888sports,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,Best Line: BetRiver,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,BetRivers,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,Sugarhouse,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Mark Anderson,888sports,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,Best Line: BetRiver,+100000
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,BetRivers,+100000
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,Sugarhouse,+100000
PGA,To Win,PGA - Sony Open in Hawaii,Rafael Campos,888sports,+100000
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,Best Line: BetRiver,+50000
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,BetRivers,+50000
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,Sugarhouse,+50000
PGA,To Win,PGA - Sony Open in Hawaii,Ryosuke Kinoshita,888sports,+50000
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,Best Line: BetRiver,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,BetRivers,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,Sugarhouse,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Bo Hoag,888sports,+35000
PGA,To Win,PGA - Sony Open in Hawaii,Rory Sabbatini,Best Line: BetRiver,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Rory Sabbatini,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Rory Sabbatini,DraftKings,No Lines
